Job,Offset,Sleep
b01,0,0
a04,65,65
c04,120,55
b03,190,70
b05,269,79
d01,334,65
b04,393,59
d04,446,53
a01,505,59
d05,571,66
a02,632,61
d02,688,56
a05,746,58
b02,797,51
c01,862,65
c03,926,64
c05,978,52
d03,1030,52
c02,1095,65
a03,1173,78
