Job,Create,Start,Offset,Sleep,Real Start,Real Wait
b01,2023-10-06 06:11:50,2023-10-06 06:11:50,0 days 00:00:00,0,2023-10-06 06:11:50,0.0
a04,2023-10-06 06:12:55,2023-10-06 06:12:55,0 days 00:01:05,65,2023-10-06 06:12:55,0.0
c04,2023-10-06 06:13:50,2023-10-06 06:13:50,0 days 00:02:00,55,2023-10-06 06:13:50,0.0
b03,2023-10-06 06:15:00,2023-10-06 06:15:00,0 days 00:03:10,70,2023-10-06 06:15:00,0.0
b05,2023-10-06 06:16:19,2023-10-06 06:16:19,0 days 00:04:29,79,2023-10-06 06:16:19,0.0
d01,2023-10-06 06:17:24,2023-10-06 06:19:14,0 days 00:05:34,65,2023-10-06 06:17:24,110.0
b04,2023-10-06 06:19:15,2023-10-06 06:19:15,0 days 00:06:33,59,2023-10-06 06:18:23,52.0
d04,2023-10-06 06:19:16,2023-10-06 06:25:40,0 days 00:07:26,53,2023-10-06 06:19:16,384.0
a01,2023-10-06 06:25:41,2023-10-06 06:25:41,0 days 00:08:25,59,2023-10-06 06:20:15,326.0
d05,2023-10-06 06:25:41,2023-10-06 06:30:57,0 days 00:09:31,66,2023-10-06 06:21:21,576.0
a02,2023-10-06 06:30:58,2023-10-06 06:31:00,0 days 00:10:32,61,2023-10-06 06:22:22,518.0
d02,2023-10-06 06:31:01,2023-10-06 06:36:15,0 days 00:11:28,56,2023-10-06 06:23:18,777.0
a05,2023-10-06 06:36:16,2023-10-06 06:36:16,0 days 00:12:26,58,2023-10-06 06:24:16,720.0
b02,2023-10-06 06:36:17,2023-10-06 06:36:17,0 days 00:13:17,51,2023-10-06 06:25:07,670.0
c01,2023-10-06 06:36:17,2023-10-06 06:36:17,0 days 00:14:22,65,2023-10-06 06:26:12,605.0
c03,2023-10-06 06:36:17,2023-10-06 06:41:33,0 days 00:15:26,64,2023-10-06 06:27:16,857.0
c05,2023-10-06 06:41:34,2023-10-06 06:41:34,0 days 00:16:18,52,2023-10-06 06:28:08,806.0
d03,2023-10-06 06:41:34,2023-10-06 06:41:37,0 days 00:17:10,52,2023-10-06 06:29:00,757.0
c02,2023-10-06 06:41:37,2023-10-06 06:46:53,0 days 00:18:15,65,2023-10-06 06:30:05,1008.0
a03,2023-10-06 06:46:53,2023-10-06 06:46:53,0 days 00:19:33,78,2023-10-06 06:31:23,930.0
