Job,Create,Start,Offset,Sleep,Real Start,Real Wait
b01,2023-10-06 08:04:21,2023-10-06 08:04:21,0 days 00:00:00,0,2023-10-06 08:04:21,0.0
a04,2023-10-06 08:05:26,2023-10-06 08:05:26,0 days 00:01:05,65,2023-10-06 08:05:26,0.0
c04,2023-10-06 08:06:21,2023-10-06 08:06:21,0 days 00:02:00,55,2023-10-06 08:06:21,0.0
b03,2023-10-06 08:07:31,2023-10-06 08:07:31,0 days 00:03:10,70,2023-10-06 08:07:31,0.0
b05,2023-10-06 08:08:50,2023-10-06 08:08:50,0 days 00:04:29,79,2023-10-06 08:08:50,0.0
d01,2023-10-06 08:09:55,2023-10-06 08:11:41,0 days 00:05:34,65,2023-10-06 08:09:55,106.0
b04,2023-10-06 08:11:42,2023-10-06 08:11:42,0 days 00:06:33,59,2023-10-06 08:10:54,48.0
d04,2023-10-06 08:11:47,2023-10-06 08:17:03,0 days 00:07:26,53,2023-10-06 08:11:47,316.0
a01,2023-10-06 08:17:04,2023-10-06 08:17:04,0 days 00:08:25,59,2023-10-06 08:12:46,258.0
d05,2023-10-06 08:17:04,2023-10-06 08:22:27,0 days 00:09:31,66,2023-10-06 08:13:52,515.0
a02,2023-10-06 08:22:28,2023-10-06 08:22:28,0 days 00:10:32,61,2023-10-06 08:14:53,455.0
d02,2023-10-06 08:22:28,2023-10-06 08:27:52,0 days 00:11:28,56,2023-10-06 08:15:49,723.0
a05,2023-10-06 08:27:52,2023-10-06 08:27:52,0 days 00:12:26,58,2023-10-06 08:16:47,665.0
b02,2023-10-06 08:27:52,2023-10-06 08:27:52,0 days 00:13:17,51,2023-10-06 08:17:38,614.0
c01,2023-10-06 08:27:53,2023-10-06 08:33:02,0 days 00:14:22,65,2023-10-06 08:18:43,859.0
c03,2023-10-06 08:33:04,2023-10-06 08:33:11,0 days 00:15:26,64,2023-10-06 08:19:47,804.0
c05,2023-10-06 08:33:12,2023-10-06 08:33:22,0 days 00:16:18,52,2023-10-06 08:20:39,763.0
d03,2023-10-06 08:33:23,2023-10-06 08:38:40,0 days 00:17:10,52,2023-10-06 08:21:31,1029.0
c02,2023-10-06 08:38:41,2023-10-06 08:38:41,0 days 00:18:15,65,2023-10-06 08:22:36,965.0
a03,2023-10-06 08:38:41,2023-10-06 08:38:41,0 days 00:19:33,78,2023-10-06 08:23:54,887.0
