Job,Create,Start,Offset,Sleep,Real Start,Real Wait
b01,2023-10-06 10:03:23,2023-10-06 10:03:23,0 days 00:00:00,0,2023-10-06 10:03:23,0.0
a04,2023-10-06 10:04:28,2023-10-06 10:04:28,0 days 00:01:05,65,2023-10-06 10:04:28,0.0
c04,2023-10-06 10:05:23,2023-10-06 10:05:23,0 days 00:02:00,55,2023-10-06 10:05:23,0.0
b03,2023-10-06 10:06:33,2023-10-06 10:08:50,0 days 00:03:10,70,2023-10-06 10:06:33,137.0
b05,2023-10-06 10:08:52,2023-10-06 10:09:53,0 days 00:04:29,79,2023-10-06 10:07:52,121.0
d01,2023-10-06 10:09:54,2023-10-06 10:09:54,0 days 00:05:34,65,2023-10-06 10:08:57,57.0
b04,2023-10-06 10:09:56,2023-10-06 10:10:45,0 days 00:06:33,59,2023-10-06 10:09:56,49.0
d04,2023-10-06 10:10:49,2023-10-06 10:15:17,0 days 00:07:26,53,2023-10-06 10:10:49,268.0
a01,2023-10-06 10:15:17,2023-10-06 10:15:17,0 days 00:08:25,59,2023-10-06 10:11:48,209.0
d05,2023-10-06 10:15:18,2023-10-06 10:20:39,0 days 00:09:31,66,2023-10-06 10:12:54,465.0
a02,2023-10-06 10:20:39,2023-10-06 10:21:03,0 days 00:10:32,61,2023-10-06 10:13:55,428.0
d02,2023-10-06 10:21:04,2023-10-06 10:26:15,0 days 00:11:28,56,2023-10-06 10:14:51,684.0
a05,2023-10-06 10:26:15,2023-10-06 10:26:40,0 days 00:12:26,58,2023-10-06 10:15:49,651.0
b02,2023-10-06 10:26:40,2023-10-06 10:26:40,0 days 00:13:17,51,2023-10-06 10:16:40,600.0
c01,2023-10-06 10:26:41,2023-10-06 10:31:52,0 days 00:14:22,65,2023-10-06 10:17:45,847.0
c03,2023-10-06 10:31:53,2023-10-06 10:32:17,0 days 00:15:26,64,2023-10-06 10:18:49,808.0
c05,2023-10-06 10:32:18,2023-10-06 10:32:18,0 days 00:16:18,52,2023-10-06 10:19:41,757.0
d03,2023-10-06 10:32:19,2023-10-06 10:37:19,0 days 00:17:10,52,2023-10-06 10:20:33,1006.0
c02,2023-10-06 10:37:20,2023-10-06 10:37:38,0 days 00:18:15,65,2023-10-06 10:21:38,960.0
a03,2023-10-06 10:37:39,2023-10-06 10:37:42,0 days 00:19:33,78,2023-10-06 10:22:56,886.0
