timestamp,event_type,duration
2023/10/14 07:10:27,assign duration:,12.828301221s
2023/10/14 07:10:37,unassign duration:,9.861042143s
2023/10/14 07:10:50,assign duration:,13.070311122s
2023/10/14 07:10:50,reconfig total time:,47.734908426s
2023/10/14 07:11:03,update GPU availability:,24.098579ms
2023/10/14 07:11:07,update device duration:,3.697910274s
2023/10/14 07:11:16,unassign duration:,9.696649674s
2023/10/14 07:11:32,assign duration:,15.579177267s
2023/10/14 07:11:32,reconfig total time:,29.002513386s
2023/10/14 07:12:08,update GPU availability:,28.306796ms
2023/10/14 07:12:10,update device duration:,2.349399864s
2023/10/14 07:12:15,unassign duration:,5.200061424s
2023/10/14 07:12:26,assign duration:,10.750886279s
2023/10/14 07:12:26,reconfig total time:,18.333233339s
2023/10/14 10:15:50,update GPU availability:,3.997887813s
2023/10/14 10:15:53,update device duration:,2.244389739s
2023/10/14 10:15:59,unassign duration:,5.477215423s
2023/10/14 10:16:09,assign duration:,10.818970234s
2023/10/14 10:16:15,unassign duration:,5.933133023s
2023/10/14 10:16:31,assign duration:,15.4825818s
2023/10/14 10:16:37,unassign duration:,5.92010584s
2023/10/14 10:16:54,assign duration:,17.517433596s
2023/10/14 10:17:04,unassign duration:,9.817511149s
2023/10/14 10:17:17,assign duration:,13.016709725s
2023/10/14 10:17:17,reconfig total time:,1m30.625271215s
2023/10/14 10:16:09,assign duration:,10.818970234s
2023/10/14 10:16:15,unassign duration:,5.933133023s
2023/10/14 10:16:31,assign duration:,15.4825818s
2023/10/14 10:16:37,unassign duration:,5.92010584s
2023/10/14 10:16:54,assign duration:,17.517433596s
2023/10/14 10:17:04,unassign duration:,9.817511149s
2023/10/14 10:17:17,assign duration:,13.016709725s
2023/10/14 10:17:17,reconfig total time:,1m30.625271215s
2023/10/14 10:18:17,update GPU availability:,37.700385ms
2023/10/14 10:18:21,update device duration:,3.520746947s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:16:09,assign duration:,10.818970234s
2023/10/14 10:16:15,unassign duration:,5.933133023s
2023/10/14 10:16:31,assign duration:,15.4825818s
2023/10/14 10:16:37,unassign duration:,5.92010584s
2023/10/14 10:16:54,assign duration:,17.517433596s
2023/10/14 10:17:04,unassign duration:,9.817511149s
2023/10/14 10:17:17,assign duration:,13.016709725s
2023/10/14 10:17:17,reconfig total time:,1m30.625271215s
2023/10/14 10:18:17,update GPU availability:,37.700385ms
2023/10/14 10:18:21,update device duration:,3.520746947s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:16:09,assign duration:,10.818970234s
2023/10/14 10:16:15,unassign duration:,5.933133023s
2023/10/14 10:16:31,assign duration:,15.4825818s
2023/10/14 10:16:37,unassign duration:,5.92010584s
2023/10/14 10:16:54,assign duration:,17.517433596s
2023/10/14 10:17:04,unassign duration:,9.817511149s
2023/10/14 10:17:17,assign duration:,13.016709725s
2023/10/14 10:17:17,reconfig total time:,1m30.625271215s
