,Job,Create,Start,Wait
0,a01,2023-10-06 11:44:16,2023-10-06 11:44:16,0.0
1,a02,2023-10-06 11:40:00,2023-10-06 11:40:00,0.0
2,a03,2023-10-06 12:52:47,2023-10-06 12:58:20,333.0
3,a04,2023-10-06 12:14:12,2023-10-06 12:19:46,334.0
4,b01,2023-10-06 12:30:50,2023-10-06 12:30:50,0.0
5,b02,2023-10-06 11:52:50,2023-10-06 11:52:50,0.0
6,b03,2023-10-06 12:41:45,2023-10-06 12:47:19,334.0
7,b04,2023-10-06 11:41:10,2023-10-06 11:41:10,0.0
8,c01,2023-10-06 12:36:18,2023-10-06 12:36:24,6.0
9,c02,2023-10-06 11:42:16,2023-10-06 11:42:16,0.0
10,c03,2023-10-06 11:45:05,2023-10-06 11:45:55,50.0
11,c04,2023-10-06 11:43:10,2023-10-06 11:43:10,0.0
12,d01,2023-10-06 12:25:16,2023-10-06 12:30:49,333.0
13,d02,2023-10-06 12:30:50,2023-10-06 12:36:18,328.0
14,d03,2023-10-06 12:19:46,2023-10-06 12:19:46,0.0
15,d04,2023-10-06 11:45:56,2023-10-06 11:52:49,413.0
16,e01,2023-10-06 12:47:19,2023-10-06 12:52:46,327.0
17,e02,2023-10-06 12:36:25,2023-10-06 12:41:45,320.0
18,e03,2023-10-06 11:52:50,2023-10-06 12:14:11,1281.0
19,e04,2023-10-06 12:19:47,2023-10-06 12:25:16,329.0
