Job,Offset,Sleep
a02,0,0
b04,70,70
c02,136,66
c04,190,54
a01,255,65
c03,304,49
d04,354,50
b02,426,72
e03,480,54
a04,539,59
d03,592,53
e04,652,60
d01,719,67
b01,786,67
d02,845,59
c01,920,75
e02,981,61
b03,1037,56
e01,1094,57
a03,1138,44
