Job,Create,Start,Offset,Sleep,Real Start,Real Wait
a02,2023-10-06 15:48:53,2023-10-06 15:48:53,0 days 00:00:00,0,2023-10-06 15:48:53,0.0
b04,2023-10-06 15:50:03,2023-10-06 15:50:03,0 days 00:01:10,70,2023-10-06 15:50:03,0.0
c02,2023-10-06 15:51:09,2023-10-06 15:51:09,0 days 00:02:16,66,2023-10-06 15:51:09,0.0
c04,2023-10-06 15:52:03,2023-10-06 15:52:04,0 days 00:03:10,54,2023-10-06 15:52:03,1.0
a01,2023-10-06 15:53:09,2023-10-06 15:53:09,0 days 00:04:15,65,2023-10-06 15:53:08,1.0
c03,2023-10-06 15:53:58,2023-10-06 15:54:58,0 days 00:05:04,49,2023-10-06 15:53:57,61.0
d04,2023-10-06 15:55:00,2023-10-06 15:58:10,0 days 00:05:54,50,2023-10-06 15:54:47,203.0
b02,2023-10-06 15:58:10,2023-10-06 15:58:10,0 days 00:07:06,72,2023-10-06 15:55:59,131.0
e03,2023-10-06 15:58:11,2023-10-06 16:04:51,0 days 00:08:00,54,2023-10-06 15:56:53,478.0
a04,2023-10-06 16:04:51,2023-10-06 16:10:26,0 days 00:08:59,59,2023-10-06 15:57:52,754.0
d03,2023-10-06 16:10:27,2023-10-06 16:10:27,0 days 00:09:52,53,2023-10-06 15:58:45,702.0
e04,2023-10-06 16:10:27,2023-10-06 16:15:53,0 days 00:10:52,60,2023-10-06 15:59:45,968.0
d01,2023-10-06 16:15:54,2023-10-06 16:21:28,0 days 00:11:59,67,2023-10-06 16:00:52,1236.0
b01,2023-10-06 16:21:28,2023-10-06 16:21:28,0 days 00:13:06,67,2023-10-06 16:01:59,1169.0
d02,2023-10-06 16:21:29,2023-10-06 16:26:51,0 days 00:14:05,59,2023-10-06 16:02:58,1433.0
c01,2023-10-06 16:26:52,2023-10-06 16:27:15,0 days 00:15:20,75,2023-10-06 16:04:13,1382.0
e02,2023-10-06 16:27:16,2023-10-06 16:32:33,0 days 00:16:21,61,2023-10-06 16:05:14,1639.0
b03,2023-10-06 16:32:34,2023-10-06 16:38:07,0 days 00:17:17,56,2023-10-06 16:06:10,1917.0
e01,2023-10-06 16:38:08,2023-10-06 16:43:35,0 days 00:18:14,57,2023-10-06 16:07:07,2188.0
a03,2023-10-06 16:43:35,2023-10-06 16:49:03,0 days 00:18:58,44,2023-10-06 16:07:51,2472.0
